rank	score	title	company	source	location	salary	url	matched_terms	rationale
14	20.0	Full Stack Software Engineer	Piq Energy	hackernews	remote		https://news.ycombinator.com/item?id=48363752	software engineer, llm, agents, python, backend, AI, startup	Matched software engineer, llm, agents, python, backend, AI, startup
15	19.75	Lead Machine Learning Engineer - Agentic Models,  LLM, RAG, GenAI	Eightfold AI	jobspy:linkedin	Santa Clara, CA		https://www.linkedin.com/jobs/view/4410264716	machine learning engineer, llm, machine learning, agentic, AI	Matched machine learning engineer, llm, machine learning, agentic, AI
16	19.5	Head of Engineering	BIT Capital	hackernews			https://news.ycombinator.com/item?id=48357777	llm, aws, agentic, engineering, infrastructure, alpha, markets, financial, AI, quant finance evidence	Matched llm, aws, agentic, engineering, infrastructure, alpha, markets, financial
17	18.75	Machine Learning Engineer - LLM, AI & Robotics	XPENG	jobspy:linkedin	Santa Clara, CA		https://www.linkedin.com/jobs/view/4410290826	machine learning engineer, llm, machine learning, AI	Matched machine learning engineer, llm, machine learning, AI
18	18.75	Tech Lead Full-Stack Rails Engineer	Mitre Media	remotive	USA, Canada, USA timezones	$170k - $200k	https://remotive.com/remote-jobs/software-development/tech-lead-full-stack-rails-engineer-2069746	llm, graph, llms, system, portfolio, financial, fintech, AI, quant finance evidence	Matched llm, graph, llms, system, portfolio, financial, fintech, AI
19	18.5	Senior Quantitative Researcher / Research Engineer	Selby Jennings	jobspy:linkedin	New York, NY		https://www.linkedin.com/jobs/view/4424194267	quantitative researcher, research engineer, research, quantitative, quant, quant finance evidence	Matched quantitative researcher, research engineer, research, quantitative, quant, quant finance evidence
20	18.25	Senior Independent AI Engineer / Architect	A.Team	remotive	Americas, Europe, Israel	$120 - $170 /hour	https://remotive.com/remote-jobs/software-development/senior-independent-ai-engineer-architect-1919266	llm, machine learning, market, AI, startup, infrastructure, quant finance evidence	Matched llm, machine learning, market, AI, startup, infrastructure, quant finance evidence
21	18.0	Machine Learning Engineer, AI Agent Platform	Arta Finance	jobspy:linkedin	Mountain View, CA		https://www.linkedin.com/jobs/view/4401035890	machine learning engineer, machine learning, finance, AI, quant finance evidence	Matched machine learning engineer, machine learning, finance, AI, quant finance evidence
22	18.0	Machine Learning Engineer, AI Agent Platform	Arta Finance	jobspy:linkedin	San Francisco, CA		https://www.linkedin.com/jobs/view/4399394635	machine learning engineer, machine learning, finance, AI, quant finance evidence	Matched machine learning engineer, machine learning, finance, AI, quant finance evidence
23	17.75	Machine Learning Engineer, AI Assistant & Autonomous AI Agents	Glean	jobspy:linkedin	Mountain View, CA		https://www.linkedin.com/jobs/view/4293940655	machine learning engineer, agents, machine learning, AI	Matched machine learning engineer, agents, machine learning, AI
24	17.75	Machine Learning Engineer	MAI Agents	jobspy:linkedin	Mountain View, CA		https://www.linkedin.com/jobs/view/4366914410	machine learning engineer, agents, machine learning, AI	Matched machine learning engineer, agents, machine learning, AI
25	17.5	Software Engineer, Cloud Agents	OpenAI	a16z	San Francisco, California, United States / San Francisco	USD 293000-385000 / Year	https://jobs.ashbyhq.com/openai/f6278b60-dd42-4aa8-a3cd-c105f75ae8ae?utm_source=jobs.a16z.com	software engineer, agents, research, engineering, infrastructure, AI	Matched software engineer, agents, research, engineering, infrastructure, AI
26	17.25	Full-time Coder is an AI software development company leading the future of autonomous coding. We empower teams to build	Coder	hackernews	remote		https://news.ycombinator.com/item?id=48384224	software engineer, agents, agentic, engineering, infrastructure, AI	Matched software engineer, agents, agentic, engineering, infrastructure, AI
27	17.25	led by Intact Private Capital, the investment arm of one of the largest insurers in the world. Intact is not only our le	Shepherd (Series B)	hackernews	Francisco, CA		https://news.ycombinator.com/item?id=48357800	machine learning engineer, machine learning, node, engineering, AI, infrastructure	Matched machine learning engineer, machine learning, node, engineering, AI, infrastructure
28	17.25	Machine Learning Engineer (Agents & LLMs)	Katanemo	jobspy:linkedin	Seattle, WA		https://www.linkedin.com/jobs/view/4368426255	machine learning engineer, agents, machine learning, llms	Matched machine learning engineer, agents, machine learning, llms
29	17.25	Staff Software Engineer, Product (Belo Horizonte)	LawnStarter	remotive	Brazil	$80k - $100k	https://remotive.com/remote-jobs/software-development/staff-software-engineer-product-belo-horizonte-2090910	software engineer, agents, aws, engineering, backend, intern, AI	Matched software engineer, agents, aws, engineering, backend, intern, AI
30	17.25	Staff Software Engineer, Product (Campinas)	LawnStarter	remotive	Brazil	$80k - $100k	https://remotive.com/remote-jobs/software-development/staff-software-engineer-product-campinas-2090913	software engineer, agents, aws, engineering, backend, intern, AI	Matched software engineer, agents, aws, engineering, backend, intern, AI
31	17.25	Staff Software Engineer, Product (Florianópolis)	LawnStarter	remotive	Brazil	$80k - $100k	https://remotive.com/remote-jobs/software-development/staff-software-engineer-product-florianopolis-2090911	software engineer, agents, aws, engineering, backend, intern, AI	Matched software engineer, agents, aws, engineering, backend, intern, AI
32	17.25	Staff Software Engineer, Product (Porto Alegre)	LawnStarter	remotive	Brazil	$80k - $100k	https://remotive.com/remote-jobs/software-development/staff-software-engineer-product-porto-alegre-2090909	software engineer, agents, aws, engineering, backend, intern, AI	Matched software engineer, agents, aws, engineering, backend, intern, AI
33	17.25	Staff Software Engineer, Product (São Paulo)	LawnStarter	remotive	Brazil	$80k - $100k	https://remotive.com/remote-jobs/software-development/staff-software-engineer-product-sao-paulo-2090912	software engineer, agents, aws, engineering, backend, intern, AI	Matched software engineer, agents, aws, engineering, backend, intern, AI
34	16.5	Machine Learning Engineer, LLM Evals & Observability	Glean	jobspy:linkedin	San Francisco, CA		https://www.linkedin.com/jobs/view/4380069766	machine learning engineer, llm, machine learning	Matched machine learning engineer, llm, machine learning
35	16.5	Senior Full-stack React Developer	Lemon.io	remotive	Americas, Europe, Asia, Oceania		https://remotive.com/remote-jobs/software-development/senior-full-stack-react-developer-2088711	llm, machine learning, aws, node, engineering, focus, python, AI, startup	Matched llm, machine learning, aws, node, engineering, focus, python, AI
36	16.25	Machine Learning Engineer (Python, ML)	Hestus	hackernews	Python, ML		https://news.ycombinator.com/item?id=48364413	machine learning engineer, machine learning, engineering, python, AI, startup	Matched machine learning engineer, machine learning, engineering, python, AI, startup
37	16.25	Software Engineer	Tetsuwan Scientific	hackernews			https://news.ycombinator.com/item?id=48406760	software engineer, llm, context, infrastructure, AI	Matched software engineer, llm, context, infrastructure, AI
38	16.25	Principal Research Scientist - AI & Machine Learning	Novateur Research Solutions	jobspy:linkedin	Ashburn, VA		https://www.linkedin.com/jobs/view/4415654920	research scientist, machine learning, research, AI	Matched research scientist, machine learning, research, AI
39	16.25	Machine Learning Research Engineer, GenAI Applied ML	Scale AI	jobspy:linkedin			https://www.linkedin.com/jobs/view/4358210033	research engineer, machine learning, research, AI	Matched research engineer, machine learning, research, AI
40	16.25	Manager, Machine Learning Research Scientist, GenAI	Scale AI	jobspy:linkedin			https://www.linkedin.com/jobs/view/4337025629	research scientist, machine learning, research, AI	Matched research scientist, machine learning, research, AI
41	16.25	Manager, Machine Learning Research Scientist, GenAI	Scale AI	jobspy:linkedin	Seattle, WA		https://www.linkedin.com/jobs/view/4336966077	research scientist, machine learning, research, AI	Matched research scientist, machine learning, research, AI
42	16.0	Quantitative Researcher: Machine Learning - Data-Driven Global Investment Firm	Andiamo	jobspy:linkedin	New York, NY		https://www.linkedin.com/jobs/view/4380627848	quantitative researcher, machine learning, quantitative, quant, quant finance evidence	Matched quantitative researcher, machine learning, quantitative, quant, quant finance evidence
43	16.0	Quantitative Researcher - Machine Learning	Point72	jobspy:linkedin	New York, United States		https://www.linkedin.com/jobs/view/4214298605	quantitative researcher, machine learning, quantitative, quant, quant finance evidence	Matched quantitative researcher, machine learning, quantitative, quant, quant finance evidence
44	16.0	Quantitative Researcher: Machine Learning	Versor Investments	jobspy:linkedin	New York, United States		https://www.linkedin.com/jobs/view/4407441689	quantitative researcher, machine learning, quantitative, quant, quant finance evidence	Matched quantitative researcher, machine learning, quantitative, quant, quant finance evidence
45	15.75	Software Engineer	Clad (YC W23)	hackernews			https://news.ycombinator.com/item?id=48360926	software engineer, infrastructure, fintech, AI, quant finance evidence	Matched software engineer, infrastructure, fintech, AI, quant finance evidence
46	15.75	Staff Software Engineer	Obsidian Security	hackernews			https://news.ycombinator.com/item?id=48361574	software engineer, llm, engineering, focus, python, backend, AI	Matched software engineer, llm, engineering, focus, python, backend, AI
47	15.5	Full Stack Engineer	Kepler	hackernews	York, NY		https://news.ycombinator.com/item?id=48358336	llm, aws, research, engineering, llms, finance, AI, quant finance evidence	Matched llm, aws, research, engineering, llms, finance, AI, quant finance evidence
48	15.25	Founding Engineer	Strobe Power	hackernews			https://news.ycombinator.com/item?id=48362169	aws, engineering, system, python, trading, market, markets, financial, AI, infrastructure, quant finance evidence	Matched aws, engineering, system, python, trading, market, markets, financial
49	15.25	Machine Learning Engineer - Agentic AI ($250,000)	Attis	jobspy:linkedin			https://www.linkedin.com/jobs/view/4417491794	machine learning engineer, machine learning, agentic, AI	Matched machine learning engineer, machine learning, agentic, AI
50	15.25	ML Research Scientist, Prediction & Smart Agents	Nuro	jobspy:linkedin	Mountain View, CA		https://www.linkedin.com/jobs/view/4373661387	research scientist, agents, research, AI	Matched research scientist, agents, research, AI
51	15.25	Research Engineer - Post-Training	Voltai	jobspy:linkedin	Palo Alto, CA		https://www.linkedin.com/jobs/view/4334860766	research engineer, post-training, research, AI	Matched research engineer, post-training, research, AI
52	15.0	Senior Research Scientist, Machine Learning	Analog Devices	jobspy:linkedin	Boston, MA		https://www.linkedin.com/jobs/view/4411776800	research scientist, machine learning, research	Matched research scientist, machine learning, research
53	15.0	Research Engineer, Machine Learning (Reinforcement Learning)	Anthropic	jobspy:linkedin	San Francisco, CA		https://www.linkedin.com/jobs/view/4322390079	research engineer, machine learning, research	Matched research engineer, machine learning, research
54	15.0	Research Scientist, Machine Learning	Arena Physica	jobspy:linkedin			https://www.linkedin.com/jobs/view/4411536807	research scientist, machine learning, research	Matched research scientist, machine learning, research
55	15.0	Research Engineer, Machine Learning	Basis Research Institute	jobspy:linkedin	New York, NY		https://www.linkedin.com/jobs/view/4318508180	research engineer, machine learning, research	Matched research engineer, machine learning, research
56	15.0	Machine Learning Research Engineer	OXMAN	jobspy:linkedin	New York, NY		https://www.linkedin.com/jobs/view/4378621618	research engineer, machine learning, research	Matched research engineer, machine learning, research
57	15.0	Associate Research Scientist - Machine Learning, Center for Computational Mathematics (Joint with Cooper Union)	Simons Foundation	jobspy:linkedin	New York, NY		https://www.linkedin.com/jobs/view/4302072805	research scientist, machine learning, research	Matched research scientist, machine learning, research
58	14.75	Founding Engineer (CTO for the right person)	Quin	hackernews			https://news.ycombinator.com/item?id=48441385	llm, agentic, engineering, focus, finance, fintech, AI, quant finance evidence	Matched llm, agentic, engineering, focus, finance, fintech, AI, quant finance evidence
59	14.5	Senior Infrastructure Engineer, Senior Software Engineer, Principal Software Engineer, Software Engineering Manager	Atom Computing	hackernews	Boulder, CO		https://news.ycombinator.com/item?id=48357775	software engineer, research, engineering, system, python, backend, quant, infrastructure	Matched software engineer, research, engineering, system, python, backend, quant, infrastructure
60	14.5	Full Time LiveKit is building the infrastructure layer for the voice-driven era of computing. Our platform gives develop	LiveKit	hackernews			https://news.ycombinator.com/item?id=48392723	software engineer, agents, infrastructure, AI	Matched software engineer, agents, infrastructure, AI
61	14.5	Machine Learning Performance Engineer - Quant Research & Trading	Acquire Me	jobspy:linkedin			https://www.linkedin.com/jobs/view/4316276321	machine learning, research, quant, trading, quant finance evidence	Matched machine learning, research, quant, trading, quant finance evidence
62	14.5	Machine Learning Engineer, Model Quantization, Tesla AI	Tesla	jobspy:linkedin	Palo Alto, CA		https://www.linkedin.com/jobs/view/4416586500	machine learning engineer, machine learning, AI, quant	Matched machine learning engineer, machine learning, AI, quant
63	14.5	Machine Learning Engineer, Offline Infrastructure (Entry-Level / New Grad)	Unity South APAC (SEA, ANZ, IND Subcont.)	jobspy:linkedin	Mountain View, CA		https://www.linkedin.com/jobs/view/4424330155	machine learning engineer, machine learning, AI, infrastructure	Matched machine learning engineer, machine learning, AI, infrastructure
64	14.5	Software Engineer	Confido	yc	NYC Office	$170K - $200K	https://www.ycombinator.com/companies/confido/jobs/HihnMex-software-engineer	software engineer, engineering, financial, AI, quant finance evidence	Matched software engineer, engineering, financial, AI, quant finance evidence
65	14.25	AI Native Software Engineer	Slingshot AI	a16z	London, United Kingdom / London	GBP 60000-120000 / Year	https://jobs.ashbyhq.com/SlingshotAI/0c62624f-f64d-4a17-9dc3-9abecabed5a3?utm_source=jobs.a16z.com	software engineer, machine learning, engineering, python, AI	Matched software engineer, machine learning, engineering, python, AI
66	14.25	2026 AI/ML Intern - Machine Learning Engineer	Adobe	jobspy:linkedin	San Jose, CA		https://www.linkedin.com/jobs/view/4286567064	machine learning engineer, machine learning, intern, AI	Matched machine learning engineer, machine learning, intern, AI
67	14.25	Agentic AI Machine Learning Engineer	Booz Allen Hamilton	jobspy:linkedin	McLean, VA		https://www.linkedin.com/jobs/view/4423563398	machine learning engineer, machine learning, agentic, AI	Matched machine learning engineer, machine learning, agentic, AI
68	14.25	Systematic Quantitative Researcher - PhD	Chicago Trading Company	jobspy:linkedin	Chicago, IL		https://www.linkedin.com/jobs/view/4354608843	quantitative researcher, quantitative, trading, systematic, quant, quant finance evidence	Matched quantitative researcher, quantitative, trading, systematic, quant, quant finance evidence
69	14.25	AI/Machine Learning Engineer - Python - Loops	IFS	jobspy:linkedin	Palo Alto, CA		https://www.linkedin.com/jobs/view/4422999432	machine learning engineer, machine learning, python, AI	Matched machine learning engineer, machine learning, python, AI
70	14.25	Research Scientist - AI & Machine Learning	Novateur Research Solutions	jobspy:linkedin	Ashburn, VA		https://www.linkedin.com/jobs/view/4415671006	research scientist, machine learning, research, AI	Matched research scientist, machine learning, research, AI
71	14.25	Machine Learning Engineer Intern	PlusAI	jobspy:linkedin	Santa Clara, CA		https://www.linkedin.com/jobs/view/4414372158	machine learning engineer, machine learning, intern, AI	Matched machine learning engineer, machine learning, intern, AI
72	14.0	Senior Software Engineer, Perception Future Sensing Platforms	Waymo	a16z	Mountain View, CA, USA / San Francisco, CA, USA	USD 213000-263000 / Year	https://careers.withwaymo.com/jobs?gh_jid=7948185	software engineer, machine learning, engineering, system, AI	Matched software engineer, machine learning, engineering, system, AI
73	14.0	Senior Software Engineer	Spacelift	hackernews			https://news.ycombinator.com/item?id=48360601	software engineer, aws, engineering, infrastructure, AI, startup	Matched software engineer, aws, engineering, infrastructure, AI, startup
74	13.75	Senior Options Quantitative Researcher	Tower Research Capital	jobspy:linkedin	New York, NY		https://www.linkedin.com/jobs/view/4387269369	quantitative researcher, research, quantitative, options, quant, quant finance evidence	Matched quantitative researcher, research, quantitative, options, quant, quant finance evidence
75	13.5	Research Engineer / Research Scientist	Preference Model	jobspy:linkedin	San Francisco, CA		https://www.linkedin.com/jobs/view/4422493591	research scientist, research engineer, research	Matched research scientist, research engineer, research
76	13.5	Quantitative Researcher Intern	Tower Research Capital	jobspy:linkedin	New York, United States		https://www.linkedin.com/jobs/view/4387257834	quantitative researcher, research, quantitative, intern, quant, quant finance evidence	Matched quantitative researcher, research, quantitative, intern, quant, quant finance evidence
77	13.25	AI / Machine Learning Engineer	1Kosmos	jobspy:linkedin	Iselin, NJ		https://www.linkedin.com/jobs/view/4413966235	machine learning engineer, machine learning, AI	Matched machine learning engineer, machine learning, AI
78	13.25	Machine Learning Engineer - Perception	Aeva	jobspy:linkedin	Mountain View, CA		https://www.linkedin.com/jobs/view/4404686898	machine learning engineer, machine learning, AI	Matched machine learning engineer, machine learning, AI
79	13.25	Machine Learning Engineer - Mountain View, CA	Atoms	jobspy:linkedin	Mountain View, CA		https://www.linkedin.com/jobs/view/4407087323	machine learning engineer, machine learning, AI	Matched machine learning engineer, machine learning, AI
80	13.25	Machine Learning Engineer, AI	Biohub	jobspy:linkedin	Redwood City, CA		https://www.linkedin.com/jobs/view/4398630444	machine learning engineer, machine learning, AI	Matched machine learning engineer, machine learning, AI
81	13.25	Machine Learning Engineer	ElastixAI	jobspy:linkedin	Seattle, WA		https://www.linkedin.com/jobs/view/4407640772	machine learning engineer, machine learning, AI	Matched machine learning engineer, machine learning, AI
82	13.25	Machine Learning Engineer	GMI Cloud	jobspy:linkedin	Mountain View, CA		https://www.linkedin.com/jobs/view/4419524862	machine learning engineer, machine learning, AI	Matched machine learning engineer, machine learning, AI
83	13.25	Machine Learning Engineer, Search Quality	Glean	jobspy:linkedin	Mountain View, CA		https://www.linkedin.com/jobs/view/4195257196	machine learning engineer, machine learning, AI	Matched machine learning engineer, machine learning, AI
84	13.25	AI / Machine Learning Engineer	Hidonix Industries	jobspy:linkedin	Santa Monica, CA		https://www.linkedin.com/jobs/view/4419345351	machine learning engineer, machine learning, AI	Matched machine learning engineer, machine learning, AI
85	13.25	Machine Learning Engineer	Ikigai	jobspy:linkedin	Cambridge, MA		https://www.linkedin.com/jobs/view/4338786218	machine learning engineer, machine learning, AI	Matched machine learning engineer, machine learning, AI
86	13.25	Machine Learning Engineer - Early Career	Jobright.ai	jobspy:linkedin			https://www.linkedin.com/jobs/view/4425267531	machine learning engineer, machine learning, AI	Matched machine learning engineer, machine learning, AI
87	13.25	AI/ML Machine Learning Engineer	Lockheed Martin	jobspy:linkedin	California, United States		https://www.linkedin.com/jobs/view/4405875508	machine learning engineer, machine learning, AI	Matched machine learning engineer, machine learning, AI
88	13.25	Machine Learning Research Scientist, Behavior Planning and Prediction	Nuro	jobspy:linkedin	Mountain View, CA		https://www.linkedin.com/jobs/view/4218578209	research scientist, machine learning, research, AI	Matched research scientist, machine learning, research, AI
89	13.25	Machine Learning Engineer	Onyx AI	jobspy:linkedin	San Francisco, CA		https://www.linkedin.com/jobs/view/4249317200	machine learning engineer, machine learning, AI	Matched machine learning engineer, machine learning, AI
90	13.25	Machine Learning Engineer - Generative AI	Qualcomm	jobspy:linkedin	San Diego, CA		https://www.linkedin.com/jobs/view/4392880869	machine learning engineer, machine learning, AI	Matched machine learning engineer, machine learning, AI
91	13.25	Machine Learning Engineer - Generative AI	Qualcomm	jobspy:linkedin	San Diego, CA		https://www.linkedin.com/jobs/view/4424423036	machine learning engineer, machine learning, AI	Matched machine learning engineer, machine learning, AI
92	13.25	Software Engineer (Multiple Levels) - Machine Learning Infrastructure, Slack	Slack	jobspy:linkedin	Austin, TX		https://www.linkedin.com/jobs/view/4371090086	software engineer, machine learning, infrastructure	Matched software engineer, machine learning, infrastructure
93	13.25	Software Engineer (Multiple Levels) - Machine Learning Infrastructure, Slack	Slack	jobspy:linkedin	Bellevue, WA		https://www.linkedin.com/jobs/view/4371081855	software engineer, machine learning, infrastructure	Matched software engineer, machine learning, infrastructure
94	13.25	Machine Learning Engineer	Voltai	jobspy:linkedin	Palo Alto, CA		https://www.linkedin.com/jobs/view/4318516263	machine learning engineer, machine learning, AI	Matched machine learning engineer, machine learning, AI
95	13.25	Machine Learning Engineer, AI for Chemistry project	X, The Moonshot Factory	jobspy:linkedin	Mountain View, CA		https://www.linkedin.com/jobs/view/4417861622	machine learning engineer, machine learning, AI	Matched machine learning engineer, machine learning, AI
96	13.25	Machine Learning Engineer	exacare ai	jobspy:linkedin	New York, NY		https://www.linkedin.com/jobs/view/4398130347	machine learning engineer, machine learning, AI	Matched machine learning engineer, machine learning, AI
97	13.25	Machine Learning Engineer	krea.ai	jobspy:linkedin	San Francisco, CA		https://www.linkedin.com/jobs/view/4339454739	machine learning engineer, machine learning, AI	Matched machine learning engineer, machine learning, AI
98	13.25	Senior Software Engineer  	Method Financial	yc	New York, NY, US / Austin, TX, US / Washington, DC, US	$185K - $225K	https://www.ycombinator.com/companies/method-financial/jobs/XQmFunZ-senior-software-engineer	software engineer, engineering, financial, quant finance evidence	Matched software engineer, engineering, financial, quant finance evidence
99	13.0	Senior Full-Stack Software Engineer	Otherling	hackernews			https://news.ycombinator.com/item?id=48390831	software engineer, aws, node, AI, startup	Matched software engineer, aws, node, AI, startup
100	13.0	Quantitative Researcher	Belvedere Trading, LLC	jobspy:linkedin	Chicago, IL		https://www.linkedin.com/jobs/view/4380967383	quantitative researcher, quantitative, trading, quant, quant finance evidence	Matched quantitative researcher, quantitative, trading, quant, quant finance evidence
101	13.0	Applied Machine Learning Research Scientist	Cerebras	jobspy:linkedin	Sunnyvale, CA		https://www.linkedin.com/jobs/view/4381674048	research scientist, machine learning, research	Matched research scientist, machine learning, research
102	13.0	Machine Learning Engineer - Python / ML	Data Recognition Corporation	jobspy:linkedin			https://www.linkedin.com/jobs/view/4404823534	machine learning engineer, machine learning, python	Matched machine learning engineer, machine learning, python
103	13.0	Quantitative Researcher	HLS Trading	jobspy:linkedin	Greenwich, CT		https://www.linkedin.com/jobs/view/4388363306	quantitative researcher, quantitative, trading, quant, quant finance evidence	Matched quantitative researcher, quantitative, trading, quant, quant finance evidence
104	13.0	Quantitative Researcher | Trading Team	Jump Trading	jobspy:linkedin	New York, NY		https://www.linkedin.com/jobs/view/4424258493	quantitative researcher, quantitative, trading, quant, quant finance evidence	Matched quantitative researcher, quantitative, trading, quant, quant finance evidence
105	13.0	Machine Learning Research Engineer	Optiver	jobspy:linkedin	New York, United States		https://www.linkedin.com/jobs/view/4411312536	research engineer, machine learning, research	Matched research engineer, machine learning, research
106	13.0	Electronic Trading HedgeFund Quantitative Researcher	Quanta Search	jobspy:linkedin	Chicago, IL		https://www.linkedin.com/jobs/view/4247614751	quantitative researcher, quantitative, trading, quant, quant finance evidence	Matched quantitative researcher, quantitative, trading, quant, quant finance evidence
107	13.0	Machine Learning Engineer Intern	Revionics, an Aptos Company	jobspy:linkedin	Dallas County, TX		https://www.linkedin.com/jobs/view/4418867094	machine learning engineer, machine learning, intern	Matched machine learning engineer, machine learning, intern
108	13.0	Machine Learning Engineer Intern (Data-Search-TikTok Recommendation) - 2026 Summer (BS/MS)	TikTok	jobspy:linkedin	San Jose, CA		https://www.linkedin.com/jobs/view/4323533893	machine learning engineer, machine learning, intern	Matched machine learning engineer, machine learning, intern
109	12.75	Senior Software Engineer - Backend/ Full Stack	Tanium	a16z	Addison, TX (Hybrid) / Durham, NC (Hybrid)	USD 191000-293000 / Year	https://job-boards.greenhouse.io/tanium/jobs/7984009	software engineer, node, engineering, python, backend, infrastructure	Matched software engineer, node, engineering, python, backend, infrastructure
110	12.75	Quantitative Software Engineer: Generative AI	Two Sigma	jobspy:linkedin	New York, United States		https://www.linkedin.com/jobs/view/4199615720	software engineer, quantitative, AI, quant, quant finance evidence	Matched software engineer, quantitative, AI, quant, quant finance evidence
111	12.5	Founding Engineer (Full-Time) Tenera ( https://trytenera.ai ) is building the product decision layer for agents and huma	Tenera	hackernews	Francisco, CA		https://news.ycombinator.com/item?id=48359106	llm, agents, system, context, AI, infrastructure	Matched llm, agents, system, context, AI, infrastructure
112	12.5	Quantitative Researcher for Risk and Research Engagement	Comity	jobspy:linkedin	Chicago, IL		https://www.linkedin.com/jobs/view/4425687308	quantitative researcher, research, quantitative, quant, quant finance evidence	Matched quantitative researcher, research, quantitative, quant, quant finance evidence
113	12.5	Machine Learning Engineer ($175K – $250K + Equity) at Stanford-born AI governance startup	Jack & Jill	jobspy:linkedin	San Francisco, CA		https://www.linkedin.com/jobs/view/4425292860	machine learning engineer, machine learning, AI, startup	Matched machine learning engineer, machine learning, AI, startup
114	12.25	AI / Systems Engineer	Emergences Labs (emergences.ai)	hackernews			https://news.ycombinator.com/item?id=48358775	llm, research, node, system, infrastructure, intern, AI	Matched llm, research, node, system, infrastructure, intern, AI
115	12.25	Staff Machine Learning Engineer, AI Agent Platform	GEICO	jobspy:linkedin	Bethesda, MD		https://www.linkedin.com/jobs/view/4424610288	machine learning engineer, machine learning, AI	Matched machine learning engineer, machine learning, AI
116	12.25	Machine Learning Software Engineer	Google	jobspy:linkedin	Mountain View, CA		https://www.linkedin.com/jobs/view/4415079084	software engineer, machine learning, AI	Matched software engineer, machine learning, AI
